,prog_name,bug_type,bug_consequence,bug_impact,exp_name,correct_ratio,prompt,model,available,stable
21,minimum_spanning_tree,variable misuse fault,runtime error,all-case impact,gemini-python-with_location,0.0,with_location,Gemini,0,0
22,next_palindrome,variable assign fault,format error,edge-case impact,gemini-python-with_location,0.0,with_location,Gemini,0,0
23,next_permutation,condition fault,output error,all-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
24,pascal,indexing fault,runtime error,base-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
25,possible_change,condition fault,runtime error,edge-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
26,powerset,variable assign fault,output error,base-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
27,quicksort,condition fault,output error,edge-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
28,reverse_linked_list,variable assign missing fault,output error,all-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
29,rpn_eval,variable assign fault,output error,edge-case impact,gemini-python-with_location,0.6666666666666666,with_location,Gemini,1,0
30,shortest_path_length,variable assign fault,output error,base-case impact,gemini-python-with_location,0.6666666666666666,with_location,Gemini,1,0
31,shortest_path_lengths,indexing fault,output error,all-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
32,shortest_paths,variable misuse fault,output error,all-case impact,gemini-python-with_location,0.6666666666666666,with_location,Gemini,1,0
33,shunting_yard,variable assign missing fault,output error,base-case impact,gemini-python-with_location,0.6666666666666666,with_location,Gemini,1,0
34,sieve,condition fault,output error,base-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
35,sqrt,condition fault,infinite loop error,base-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
36,subsequences,variable assign fault,output error,edge-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
37,to_base,variable assign fault,output error,base-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
38,topological_ordering,condition fault,output error,all-case impact,gemini-python-with_location,0.3333333333333333,with_location,Gemini,1,0
39,wrap,variable assign missing fault,format error,all-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
40,bitcount,variable assign fault,infinite loop error,all-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
41,breadth_first_search,condition fault,infinite loop error,edge-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
42,bucketsort,variable misuse fault,output error,all-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
43,depth_first_search,variable misuse fault,infinite loop error,edge-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
44,detect_cycle,condition fault,runtime error,edge-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
45,find_first_in_sorted,condition fault,infinite loop error,edge-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
46,find_in_sorted,indexing fault,infinite loop error,edge-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
47,flatten,variable misuse fault,format error,base-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
48,gcd,variable misuse fault,infinite loop error,base-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
49,get_factors,variable assign fault,output error,base-case impact,gpt35-python-with_lib,0.6666666666666666,with_lib,GPT-3.5,1,0
50,hanoi,variable misuse fault,output error,all-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
51,is_valid_parenthesization,variable assign fault,output error,edge-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
52,kheapsort,indexing fault,output error,base-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
53,knapsack,condition fault,output error,edge-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
54,kth,variable assign fault,runtime error,base-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
55,lcs_length,indexing fault,output error,base-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
56,levenshtein,variable assign fault,output error,base-case impact,gpt35-python-with_lib,0.6666666666666666,with_lib,GPT-3.5,1,0
57,lis,variable assign fault,output error,base-case impact,gpt35-python-with_lib,0.0,with_lib,GPT-3.5,0,0
58,longest_common_subsequence,indexing fault,output error,edge-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
59,max_sublist_sum,variable assign fault,output error,base-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
60,mergesort,condition fault,infinite loop error,all-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
61,minimum_spanning_tree,variable misuse fault,runtime error,all-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
62,next_palindrome,variable assign fault,format error,edge-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
63,next_permutation,condition fault,output error,all-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
64,pascal,indexing fault,runtime error,base-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
65,possible_change,condition fault,runtime error,edge-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
66,powerset,variable assign fault,output error,base-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
67,quicksort,condition fault,output error,edge-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
68,reverse_linked_list,variable assign missing fault,output error,all-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
69,rpn_eval,variable assign fault,output error,edge-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
70,shortest_path_length,variable assign fault,output error,base-case impact,gpt35-python-with_lib,0.6666666666666666,with_lib,GPT-3.5,1,0
71,shortest_path_lengths,indexing fault,output error,all-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
72,shortest_paths,variable misuse fault,output error,all-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
73,shunting_yard,variable assign missing fault,output error,base-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
74,sieve,condition fault,output error,base-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
75,sqrt,condition fault,infinite loop error,base-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
76,subsequences,variable assign fault,output error,edge-case impact,gpt35-python-with_lib,0.0,with_lib,GPT-3.5,0,0
77,to_base,variable assign fault,output error,base-case impact,gpt35-python-with_lib,1.0,with_lib,GPT-3.5,1,1
78,topological_ordering,condition fault,output error,all-case impact,gpt35-python-with_lib,0.3333333333333333,with_lib,GPT-3.5,1,0
79,wrap,variable assign missing fault,format error,all-case impact,gpt35-python-with_lib,0.0,with_lib,GPT-3.5,0,0
80,bitcount,variable assign fault,infinite loop error,all-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
81,breadth_first_search,condition fault,infinite loop error,edge-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
82,bucketsort,variable misuse fault,output error,all-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
83,depth_first_search,variable misuse fault,infinite loop error,edge-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
84,detect_cycle,condition fault,runtime error,edge-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
85,find_first_in_sorted,condition fault,infinite loop error,edge-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
86,find_in_sorted,indexing fault,infinite loop error,edge-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
87,flatten,variable misuse fault,format error,base-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
88,gcd,variable misuse fault,infinite loop error,base-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
89,get_factors,variable assign fault,output error,base-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
90,hanoi,variable misuse fault,output error,all-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
91,is_valid_parenthesization,variable assign fault,output error,edge-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
92,kheapsort,indexing fault,output error,base-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
93,knapsack,condition fault,output error,edge-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
94,kth,variable assign fault,runtime error,base-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
95,lcs_length,indexing fault,output error,base-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
96,levenshtein,variable assign fault,output error,base-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
97,lis,variable assign fault,output error,base-case impact,gpt35-python-with_location,0.0,with_location,GPT-3.5,0,0
98,longest_common_subsequence,indexing fault,output error,edge-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
99,max_sublist_sum,variable assign fault,output error,base-case impact,gpt35-python-with_location,0.6666666666666666,with_location,GPT-3.5,1,0
100,mergesort,condition fault,infinite loop error,all-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
101,minimum_spanning_tree,variable misuse fault,runtime error,all-case impact,gpt35-python-with_location,0.6666666666666666,with_location,GPT-3.5,1,0
102,next_palindrome,variable assign fault,format error,edge-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
103,next_permutation,condition fault,output error,all-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
104,pascal,indexing fault,runtime error,base-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
105,possible_change,condition fault,runtime error,edge-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
106,powerset,variable assign fault,output error,base-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
107,quicksort,condition fault,output error,edge-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
108,reverse_linked_list,variable assign missing fault,output error,all-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
109,rpn_eval,variable assign fault,output error,edge-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
110,shortest_path_length,variable assign fault,output error,base-case impact,gpt35-python-with_location,0.0,with_location,GPT-3.5,0,0
111,shortest_path_lengths,indexing fault,output error,all-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
112,shortest_paths,variable misuse fault,output error,all-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
113,shunting_yard,variable assign missing fault,output error,base-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
114,sieve,condition fault,output error,base-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
115,sqrt,condition fault,infinite loop error,base-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
116,subsequences,variable assign fault,output error,edge-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
117,to_base,variable assign fault,output error,base-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
118,topological_ordering,condition fault,output error,all-case impact,gpt35-python-with_location,1.0,with_location,GPT-3.5,1,1
119,wrap,variable assign missing fault,format error,all-case impact,gpt35-python-with_location,0.3333333333333333,with_location,GPT-3.5,1,0
120,bitcount,variable assign fault,infinite loop error,all-case impact,claude-python-basic,1.0,basic,Claude,1,1
121,breadth_first_search,condition fault,infinite loop error,edge-case impact,claude-python-basic,1.0,basic,Claude,1,1
122,bucketsort,variable misuse fault,output error,all-case impact,claude-python-basic,1.0,basic,Claude,1,1
123,depth_first_search,variable misuse fault,infinite loop error,edge-case impact,claude-python-basic,0.6666666666666666,basic,Claude,1,0
124,detect_cycle,condition fault,runtime error,edge-case impact,claude-python-basic,1.0,basic,Claude,1,1
125,find_first_in_sorted,condition fault,infinite loop error,edge-case impact,claude-python-basic,0.0,basic,Claude,0,0
126,find_in_sorted,indexing fault,infinite loop error,edge-case impact,claude-python-basic,1.0,basic,Claude,1,1
127,flatten,variable misuse fault,format error,base-case impact,claude-python-basic,0.3333333333333333,basic,Claude,1,0
128,gcd,variable misuse fault,infinite loop error,base-case impact,claude-python-basic,0.6666666666666666,basic,Claude,1,0
129,get_factors,variable assign fault,output error,base-case impact,claude-python-basic,0.0,basic,Claude,0,0
130,hanoi,variable misuse fault,output error,all-case impact,claude-python-basic,0.6666666666666666,basic,Claude,1,0
131,is_valid_parenthesization,variable assign fault,output error,edge-case impact,claude-python-basic,1.0,basic,Claude,1,1
132,kheapsort,indexing fault,output error,base-case impact,claude-python-basic,1.0,basic,Claude,1,1
133,knapsack,condition fault,output error,edge-case impact,claude-python-basic,1.0,basic,Claude,1,1
134,kth,variable assign fault,runtime error,base-case impact,claude-python-basic,1.0,basic,Claude,1,1
135,lcs_length,indexing fault,output error,base-case impact,claude-python-basic,0.0,basic,Claude,0,0
136,levenshtein,variable assign fault,output error,base-case impact,claude-python-basic,1.0,basic,Claude,1,1
137,lis,variable assign fault,output error,base-case impact,claude-python-basic,0.0,basic,Claude,0,0
138,longest_common_subsequence,indexing fault,output error,edge-case impact,claude-python-basic,0.6666666666666666,basic,Claude,1,0
139,max_sublist_sum,variable assign fault,output error,base-case impact,claude-python-basic,0.3333333333333333,basic,Claude,1,0
140,mergesort,condition fault,infinite loop error,all-case impact,claude-python-basic,1.0,basic,Claude,1,1
141,minimum_spanning_tree,variable misuse fault,runtime error,all-case impact,claude-python-basic,1.0,basic,Claude,1,1
142,next_palindrome,variable assign fault,format error,edge-case impact,claude-python-basic,1.0,basic,Claude,1,1
143,next_permutation,condition fault,output error,all-case impact,claude-python-basic,1.0,basic,Claude,1,1
144,pascal,indexing fault,runtime error,base-case impact,claude-python-basic,1.0,basic,Claude,1,1
145,possible_change,condition fault,runtime error,edge-case impact,claude-python-basic,1.0,basic,Claude,1,1
146,powerset,variable assign fault,output error,base-case impact,claude-python-basic,0.6666666666666666,basic,Claude,1,0
147,quicksort,condition fault,output error,edge-case impact,claude-python-basic,0.6666666666666666,basic,Claude,1,0
148,reverse_linked_list,variable assign missing fault,output error,all-case impact,claude-python-basic,1.0,basic,Claude,1,1
149,rpn_eval,variable assign fault,output error,edge-case impact,claude-python-basic,0.3333333333333333,basic,Claude,1,0
150,shortest_path_length,variable assign fault,output error,base-case impact,claude-python-basic,0.6666666666666666,basic,Claude,1,0
151,shortest_path_lengths,indexing fault,output error,all-case impact,claude-python-basic,0.0,basic,Claude,0,0
152,shortest_paths,variable misuse fault,output error,all-case impact,claude-python-basic,0.3333333333333333,basic,Claude,1,0
153,shunting_yard,variable assign missing fault,output error,base-case impact,claude-python-basic,1.0,basic,Claude,1,1
154,sieve,condition fault,output error,base-case impact,claude-python-basic,1.0,basic,Claude,1,1
155,sqrt,condition fault,infinite loop error,base-case impact,claude-python-basic,1.0,basic,Claude,1,1
156,subsequences,variable assign fault,output error,edge-case impact,claude-python-basic,0.0,basic,Claude,0,0
157,to_base,variable assign fault,output error,base-case impact,claude-python-basic,1.0,basic,Claude,1,1
158,topological_ordering,condition fault,output error,all-case impact,claude-python-basic,1.0,basic,Claude,1,1
159,wrap,variable assign missing fault,format error,all-case impact,claude-python-basic,0.0,basic,Claude,0,0
160,bitcount,variable assign fault,infinite loop error,all-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
161,breadth_first_search,condition fault,infinite loop error,edge-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
162,bucketsort,variable misuse fault,output error,all-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
163,depth_first_search,variable misuse fault,infinite loop error,edge-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
164,detect_cycle,condition fault,runtime error,edge-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
165,find_first_in_sorted,condition fault,infinite loop error,edge-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
166,find_in_sorted,indexing fault,infinite loop error,edge-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
167,flatten,variable misuse fault,format error,base-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
168,gcd,variable misuse fault,infinite loop error,base-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
169,get_factors,variable assign fault,output error,base-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
170,hanoi,variable misuse fault,output error,all-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
171,is_valid_parenthesization,variable assign fault,output error,edge-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
172,kheapsort,indexing fault,output error,base-case impact,gpt4-python-with_location,0.6666666666666666,with_location,GPT-4,1,0
173,knapsack,condition fault,output error,edge-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
174,kth,variable assign fault,runtime error,base-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
175,lcs_length,indexing fault,output error,base-case impact,gpt4-python-with_location,0.0,with_location,GPT-4,0,0
176,levenshtein,variable assign fault,output error,base-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
177,lis,variable assign fault,output error,base-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
178,longest_common_subsequence,indexing fault,output error,edge-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
179,max_sublist_sum,variable assign fault,output error,base-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
180,mergesort,condition fault,infinite loop error,all-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
181,minimum_spanning_tree,variable misuse fault,runtime error,all-case impact,gpt4-python-with_location,0.6666666666666666,with_location,GPT-4,1,0
182,next_palindrome,variable assign fault,format error,edge-case impact,gpt4-python-with_location,0.3333333333333333,with_location,GPT-4,1,0
183,next_permutation,condition fault,output error,all-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
184,pascal,indexing fault,runtime error,base-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
185,possible_change,condition fault,runtime error,edge-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
186,powerset,variable assign fault,output error,base-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
187,quicksort,condition fault,output error,edge-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
188,reverse_linked_list,variable assign missing fault,output error,all-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
189,rpn_eval,variable assign fault,output error,edge-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
190,shortest_path_length,variable assign fault,output error,base-case impact,gpt4-python-with_location,0.6666666666666666,with_location,GPT-4,1,0
191,shortest_path_lengths,indexing fault,output error,all-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
192,shortest_paths,variable misuse fault,output error,all-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
193,shunting_yard,variable assign missing fault,output error,base-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
194,sieve,condition fault,output error,base-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
195,sqrt,condition fault,infinite loop error,base-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
196,subsequences,variable assign fault,output error,edge-case impact,gpt4-python-with_location,0.3333333333333333,with_location,GPT-4,1,0
197,to_base,variable assign fault,output error,base-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
198,topological_ordering,condition fault,output error,all-case impact,gpt4-python-with_location,1.0,with_location,GPT-4,1,1
199,wrap,variable assign missing fault,format error,all-case impact,gpt4-python-with_location,0.0,with_location,GPT-4,0,0
200,bitcount,variable assign fault,infinite loop error,all-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
201,breadth_first_search,condition fault,infinite loop error,edge-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
202,bucketsort,variable misuse fault,output error,all-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
203,depth_first_search,variable misuse fault,infinite loop error,edge-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
204,detect_cycle,condition fault,runtime error,edge-case impact,gemini-python-with_lib,0.6666666666666666,with_lib,Gemini,1,0
205,find_first_in_sorted,condition fault,infinite loop error,edge-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
206,find_in_sorted,indexing fault,infinite loop error,edge-case impact,gemini-python-with_lib,0.6666666666666666,with_lib,Gemini,1,0
207,flatten,variable misuse fault,format error,base-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
208,gcd,variable misuse fault,infinite loop error,base-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
209,get_factors,variable assign fault,output error,base-case impact,gemini-python-with_lib,0.0,with_lib,Gemini,0,0
210,hanoi,variable misuse fault,output error,all-case impact,gemini-python-with_lib,0.6666666666666666,with_lib,Gemini,1,0
211,is_valid_parenthesization,variable assign fault,output error,edge-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
212,kheapsort,indexing fault,output error,base-case impact,gemini-python-with_lib,0.6666666666666666,with_lib,Gemini,1,0
213,knapsack,condition fault,output error,edge-case impact,gemini-python-with_lib,0.3333333333333333,with_lib,Gemini,1,0
214,kth,variable assign fault,runtime error,base-case impact,gemini-python-with_lib,0.0,with_lib,Gemini,0,0
215,lcs_length,indexing fault,output error,base-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
216,levenshtein,variable assign fault,output error,base-case impact,gemini-python-with_lib,0.6666666666666666,with_lib,Gemini,1,0
217,lis,variable assign fault,output error,base-case impact,gemini-python-with_lib,0.3333333333333333,with_lib,Gemini,1,0
218,longest_common_subsequence,indexing fault,output error,edge-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
219,max_sublist_sum,variable assign fault,output error,base-case impact,gemini-python-with_lib,0.0,with_lib,Gemini,0,0
220,mergesort,condition fault,infinite loop error,all-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
221,minimum_spanning_tree,variable misuse fault,runtime error,all-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
222,next_palindrome,variable assign fault,format error,edge-case impact,gemini-python-with_lib,0.0,with_lib,Gemini,0,0
223,next_permutation,condition fault,output error,all-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
224,pascal,indexing fault,runtime error,base-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
225,possible_change,condition fault,runtime error,edge-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
226,powerset,variable assign fault,output error,base-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
227,quicksort,condition fault,output error,edge-case impact,gemini-python-with_lib,0.6666666666666666,with_lib,Gemini,1,0
228,reverse_linked_list,variable assign missing fault,output error,all-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
229,rpn_eval,variable assign fault,output error,edge-case impact,gemini-python-with_lib,0.0,with_lib,Gemini,0,0
230,shortest_path_length,variable assign fault,output error,base-case impact,gemini-python-with_lib,0.6666666666666666,with_lib,Gemini,1,0
231,shortest_path_lengths,indexing fault,output error,all-case impact,gemini-python-with_lib,0.3333333333333333,with_lib,Gemini,1,0
232,shortest_paths,variable misuse fault,output error,all-case impact,gemini-python-with_lib,0.6666666666666666,with_lib,Gemini,1,0
233,shunting_yard,variable assign missing fault,output error,base-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
234,sieve,condition fault,output error,base-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
235,sqrt,condition fault,infinite loop error,base-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
236,subsequences,variable assign fault,output error,edge-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
237,to_base,variable assign fault,output error,base-case impact,gemini-python-with_lib,1.0,with_lib,Gemini,1,1
238,topological_ordering,condition fault,output error,all-case impact,gemini-python-with_lib,0.0,with_lib,Gemini,0,0
239,wrap,variable assign missing fault,format error,all-case impact,gemini-python-with_lib,0.3333333333333333,with_lib,Gemini,1,0
240,bitcount,variable assign fault,infinite loop error,all-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
241,breadth_first_search,condition fault,infinite loop error,edge-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
242,bucketsort,variable misuse fault,output error,all-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
243,depth_first_search,variable misuse fault,infinite loop error,edge-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
244,detect_cycle,condition fault,runtime error,edge-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
245,find_first_in_sorted,condition fault,infinite loop error,edge-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
246,find_in_sorted,indexing fault,infinite loop error,edge-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
247,flatten,variable misuse fault,format error,base-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
248,gcd,variable misuse fault,infinite loop error,base-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
249,get_factors,variable assign fault,output error,base-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
250,hanoi,variable misuse fault,output error,all-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
251,is_valid_parenthesization,variable assign fault,output error,edge-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
252,kheapsort,indexing fault,output error,base-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
253,knapsack,condition fault,output error,edge-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
